Idea reference,Idea name,Idea categories,Idea assigned to,Idea status,Idea created date,Idea votes,Idea tags,Idea description,Created by email domain,Idea portal comments,Idea voter email domains
DFE-I-62,OR preference card search in applications,Patient Scheduling,Blakely Prine,Product Owner Review,2022-05-17 19:47:17,13,OR Management,EWS preference cards are antiquated so the ability to search and do patient charges from applications. Also the ability to choose multiple cards for a case that will cross reference so there are not duplicate charges.,cozadhealthcare.com,"Lori Luciano May 25, 2022
We have an entire Dream List! See attached

Tracie Bastien May 3, 2024
This would be vital in time saving and cost savings. Currently, if there are 2 or more procedures the surgeons wants to schedule, our schedulers pick the one they think is the biggest in terms of time and supplies (although they are not at all clinical and are wrong half the time). So only 1 procedure is actually scheduled and shows on the schedule in bold, we then have to type the rest of the procedure in the comments field of the EWS scheduling screen and pray no one puts a special character in that field otherwise no face sheets print. We do this so that there are not a ton a duplicate charges to address after the case.","caldwellmedical.com,cozadhealthcare.com,tifs.org,prairielakes.com,bhsh.com,interhealthcanada.tc,monroesurgical.com,lgh-jena.org,burgesshc.org,cpsi.com,surgeonschoice.com,ahmchealth.com"
DFE-I-521,Add OR Preference Cards Patient Demographics,"Patient Scheduling,TruBridge EHR - Financial",Blakely Prine,Product Owner Review,2023-02-21 16:59:13,2,OR Management,"Can the OR preference cards include the patient's height, weight, and allergies within the header?",legenthealth.com,,"legenthealth.com,lgh-jena.org"
GRH-I-44,Most recent data displayed within the portal,MyCareCorner,Brandon Cooper,Open for Comment,2021-08-10 17:43:09,3,,"Showing the most recent available date so that something shows up in the widget and it's not empty.

* As a user I want the widget to display health information base on my most recent data instead of showing data based on a specific date filter so that there will be no empty widgets for data types that have data.",getrealhealth.com,,"gmail.com,lgh-jena.org,cmhcare.com"
DFE-I-16,Prioritize escribe request ,Medication Management,Brent Runkle,Open for Comment,2022-05-17 15:42:48,5,,providers need to have the ability to prioritize their escribe incoming request such as urgent,tcmh.org,,"tcmh.org,lgh-jena.org,mchstaff.com,arbucklehospital.com"
DFE-I-78,"340B: Capture actual NDC that is scanned with date/time stamp, preferably in easily accessible area such as patient charge detail.","Medication Management,TruBridge EHR - Financial",Brent Runkle,Open for Comment,2022-05-18 15:44:17,22,,340B/HRSA requires documentation of actual NDC administered. Using NDC on page 1 is not always the NDC of the med given. Much easier for pharmacy to maintain HRSA compliance and prove it. HRSA surveyor wants 340B coordinator to be able to navigate the system and see information in one place and not have to run reports.,mygcgh.org,"Roger Morris May 18, 2022
I couldn't agree more. This may not be the highest vote getter, but it's an absolutely critical enhancement request.

Kelle Thompson Aug 8, 2022
From a compliance standpoint, this should be a necessity. The interface would need to be rewritten to send the information that is captured from the MAR including time administered. If CPSI every sat in on a HRSA audit, they would understand the why behind the request.","prmc.org,caldwellmedical.com,wnmh.org,jackhosp.org,cmciks.com,cozadhealthcare.com,emanuelmedical.org,woodlawnhospital.com,lgh-jena.org,cpsi.com,cvhealth.net,surgeonschoice.com,gh-health.org,mygcgh.org,yahoo.com,desotoregional.com,evident.com,masondistricthospital.org,cmhcare.com,bmh.org"
DFE-I-95,Released future orders report from hospital facility,Order Management,Brent Runkle,Product Owner Review,2022-05-20 21:10:18,4,"Efficiency,More discussion needed,Small Effort","We enter future orders in our clinic facility which is a separate AR from the hospital. We do not require the clinic to send a requisition to the hospital since we can view the pending future orders Q. However, once we have released the future orders there is occasionally a need from within the hospital account to print a report showing the details of the future orders that were released on this account. We cannot print this type of report from the hospital visit and would like to be able to do so.",spartahospital.com,"dnewby@prmc.org Jul 1, 2022
There's already a Released Future Orders report in the Report Dashboard that shows the order details. You might check and see if it will meets your needs.

Susan Gutjahr Dec 22, 2022
This report dashboard does meet our need. I would ask though that there be a way from within the patient account or Print EMR to generate this released future orders report on the individual account. It is not very efficient when you are releasing records to have to go to report dashboard to generate the patient orders. Thanks!","eocmhospital.com,yahoo.com,spartahospital.com,lgh-jena.org"
DFE-I-114,WEIGHT-BASED MEDICATION DOSING / IV DOSE CALCULATIONS,"Medication Management,Order Management",Brent Runkle,Open for Comment,2022-07-08 14:29:10,77,,"Requesting development with weight-based medications so the EMR is intuitive enough to calculate the medication dose based on weight ( in MG and NOT ML's). Examples include Heparin drips, Insulin Drips, etc., This is a significant patient safety concern with high-risk medications.",vmhospital.com,"Trish Shelton Sep 8, 2022
Is there any development with this?? Providers are becoming very frustrated!!

Linda Pfeifle Jan 24, 2024
This would be extremely helpful!

Emily Brueggemann May 15, 2024
This is a huge patient safety issue. Our providers have critical patients in the ER and have to calculate a dose, convert to mL then calculate a flow rate just to enter an order. That is absolutely ridiculous, it's 2024! Our providers are very frustrated.","surgeonschoice.com,prmc.org,schcmed.com,fairfaxmed.com,caldwellmedical.com,fcmh.biz,tjsh.org,labettehealth.com,slhd.org,eocmhospital.com,madisonhospital.com,hillsdalehospital.com,gibsonhospital.org,gcmc.org,pcmhosp.com,raycountyhospital.com,rch-lyons.com,tsjh.org,rpmh.net,benefis.org,vmhospital.com,allenhealth.net,wnmh.org,upmc.edu,reaganhealth.com,jackhosp.org,bunkiegeneral.com,keefemh.org,cozadhealthcare.com,emanuelmedical.org,yahoo.com,grmf.org,att.net,emailsmc.com,prairielakes.com,bhsh.com,putnamgeneral.com,mckenziehealth.org,nrmchealth.com,ajmchc.org,rayhealthcare.org,bennettcountyhospital.com,protonmail.com,eomchospital.com,desotoregional.com,artesiageneral.com,evident.com,rvmc.org,noconageneral.com,hrrmc.net,gmail.com,spartahospital.com,decaturhealth.org,lgh-jena.org,lifecare-health.com,cpsi.com,girardmedicalcenter.com,nchnet.org,hillsborohospital.com,ecmh.org,westholtmed.org"
DFE-I-172,Have Augmentin calculate like all other oral medications,"Medication Management,Order Management",Brent Runkle,Product Owner Review,2022-07-25 15:48:21,3,,Augmentin has to be set up as a compound item in the item master to enter the correct MG and not have an incorrect ML. This means that the system will not calculate the ML's at all so the nurse will have to figure out the correct ML's which can lead to a medication error.,erlanger.org,,"prmc.org,erlanger.org,lgh-jena.org"
DFE-I-178,Space (or dedicated fields) within body of medication orders to add titration parameters.,"Medication Management,Order Management",Brent Runkle,Already Exists,2022-07-28 18:32:47,6,,,gibsonhospital.org,"Whitney Rohlman Sep 13, 2022
Yes, all titratable medications should have titration parameters for patient safety. Without titration parameters, the order isn't complete.

Brent Runkle Dec 22, 2022
Functionality to capture titration parameters has been added in 21.02.06

Please see the release notes and tip sheet.","prmc.org,keefemh.org,lgh-jena.org,gibsonhospital.org,mchcare.com"
DFE-I-228,Allow Verbal Order Type for Future Orders,Order Management,Brent Runkle,Product Owner Review,2022-08-15 20:59:24,8,,Now all Future orders go in as written and there is not a way for the provider to easily co sign the orders. There is a drop down option under order type but you are unable to change to anything other than written. This would save so much time!! Also it should have already been done years ago.,kimballhealth.org,,"fcmh.biz,slhd.org,kimballhealth.org,cozadhealthcare.com,pmhnet.com,monroesurgical.com,avhealthsystem.com,dchbenkelman.com"
